GACC	State	Group	Site	Date	Fuel	Percent	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-06-30	Chamise	78	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-06-15	Chamise	79	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-06-02	Chamise	85	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-05-12	Chamise	87	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-05-11	Chamise	87	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-04-27	Chamise	98	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-04-26	Chamise	98	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-04-14	Chamise	118	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-03-31	Chamise	130	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-03-16	Chamise	129	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-03-03	Chamise	139	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-02-17	Chamise	138	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-02-03	Chamise	103	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-01-19	Chamise	102	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-12-23	Chamise	73	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-12-01	Chamise	70	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-11-10	Chamise	57	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-10-14	Chamise	59	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-09-30	Chamise	55	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-09-16	Chamise	55	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-09-07	Chamise	58	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-08-23	Chamise	55	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-08-09	Chamise	56	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-07-22	Chamise	56	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-06-10	Chamise	73	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-05-26	Chamise	74	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-05-11	Chamise	78	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-04-22	Chamise	100	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-04-08	Chamise	116	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-03-25	Chamise	114	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-03-11	Chamise	110	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-02-26	Chamise	115	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-02-12	Chamise	99	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-01-29	Chamise	75	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-01-15	Chamise	70	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-12-24	Chamise	57	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-12-04	Chamise	59	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-11-19	Chamise	61	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-10-30	Chamise	65	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-10-01	Chamise	57	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-09-17	Chamise	57	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-09-03	Chamise	58	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-08-20	Chamise	61	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-08-06	Chamise	60	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-07-23	Chamise	61	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-07-09	Chamise	63	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-06-25	Chamise	66	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-06-11	Chamise	76	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-05-28	Chamise	70	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-05-14	Chamise	77	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-04-30	Chamise	81	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-04-16	Chamise	88	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-04-02	Chamise	105	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-03-19	Chamise	112	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-02-05	Chamise	94	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-01-22	Chamise	102	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2015-01-09	Chamise	74	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-12-24	Chamise	69	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-12-11	Chamise	65	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-11-13	Chamise	57	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-10-30	Chamise	55	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-10-17	Chamise	55	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-10-02	Chamise	56	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-09-18	Chamise	55	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-09-05	Chamise	56	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-08-21	Chamise	58	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-08-08	Chamise	58	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-07-25	Chamise	60	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-07-11	Chamise	61	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-06-27	Chamise	70	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-06-13	Chamise	73	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-05-31	Chamise	78	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-05-15	Chamise	92	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-05-01	Chamise	100	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-04-17	Chamise	108	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-04-04	Chamise	96	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-03-21	Chamise	83	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-03-07	Chamise	72	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-02-21	Chamise	56	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-01-24	Chamise	54	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2014-01-10	Chamise	54	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-12-06	Chamise	60	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-11-15	Chamise	51	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-11-01	Chamise	57	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-10-18	Chamise	59	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-10-04	Chamise	55	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-09-20	Chamise	58	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-09-06	Chamise	60	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-08-28	Chamise	61	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-08-13	Chamise	59	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-07-26	Chamise	58	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-07-12	Chamise	70	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-06-27	Chamise	72	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-06-18	Chamise	77	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-06-04	Chamise	90	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-05-17	Chamise	89	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-05-03	Chamise	96	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-04-19	Chamise	87	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-04-12	Chamise	87	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-03-22	Chamise	108	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-03-07	Chamise	111	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2013-02-22	Chamise	132	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-12-28	Chamise	80	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-12-13	Chamise	72	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-11-29	Chamise	63	
